Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, Eco1036, 22976, 7449.42918697772, 188.776487447895, 136.125, 738.156206476323, 0, 
5, Eco1064, 31400, 8986.74315286624, 224.671769380987, 171.122101910828, 897.841178343949, 0, 
5, Eco1072, 24468, 9341.61394474416, 232.002013963969, 175.190125878699, 947.186243256498, 0, 
5, Eco1078, 43371, 9681.01941389408, 231.690069651552, 163.028890272302, 978.808305088654, 0, 
5, Eco1083, 29065, 9884.35795630483, 233.260111618243, 159.9970067091, 1010.18733872355, 0, 
5, Eco1090, 17774, 10204.2240913694, 236.112303287628, 165.301170248678, 1042.55373016766, 0, 
5, Eco1102, 28203, 10498.8326419175, 252.700341013601, 166.735666418466, 1102.18714321172, 0, 
5, Eco1133, 32205, 11062.3224654557, 283.248396347082, 181.290824406148, 1175.52103710604, 0, 
5, Eco1226, 23275, 13496.7657572503, 393.899929671853, 249.169881847476, 1570.95407089151, 0, 
5, Eco1441, 19294, 16640.5628692858, 509.065124979631, 323.435938633772, 2069.27796206074, 0, 
5, Eco2036, 20223, 7731.27765415616, 185.83444489469, 129.030905404737, 746.275330069723, 0, 
5, Eco2064, 44285, 9276.11766963983, 220.262935830054, 168.598464491363, 894.434074743141, 0, 
5, Eco2072, 19716, 9687.29757557314, 224.325093723385, 160.342412254007, 949.906471900994, 0, 
5, Eco2078, 29673, 10007.9384288747, 229.864242573904, 162.954638897314, 977.765510733664, 0, 
5, Eco2083, 40707, 10346.5094946815, 238.578763887437, 162.080526690741, 985.747954897192, 0, 
5, Eco2090, 19188, 10537.7867938295, 240.531913429209, 170.130810923494, 1047.72045028143, 0, 
5, Eco2102, 26949, 11131.447511967, 248.608608474552, 158.505547515678, 1091.84741548852, 0, 
5, Eco2133, 29721, 11554.360654083, 282.1199985356, 179.011742538946, 1165.92402678241, 0, 
5, Eco2226, 18597, 14225.4622250901, 404.270997020305, 260.52196590848, 1686.6703231704, 0, 
5, Eco2441, 21704, 17136.5757003317, 522.099721562378, 328.947106524143, 2155.31173977147, 0, 
5, Eco3036, 44627, 8507.21267394178, 221.09704147789, 137.354561140117, 823.58117283259, 0, 
5, Eco3064, 49056, 10340.3467873451, 273.519692414517, 167.59966161122, 975.551084474886, 0, 
5, Eco3072, 78331, 10598.7241960399, 279.814440331589, 174.132476286528, 1005.68888434975, 0, 
5, Eco3078, 18625, 10720.4534765101, 281.417754015891, 168.986577181208, 1016.99355704698, 0, 
5, Eco3083, 29143, 10816.6868544762, 286.687915320933, 173.627354767869, 1057.51933568953, 0, 
5, Eco3090, 21037, 10942.1360460142, 294.02912113407, 176.007700717783, 1102.8727480154, 0, 
5, Eco3102, 15890, 11001.5639395846, 302.871024033164, 176.369603524229, 1114.23039647577, 0, 
5, Eco3133, 13632, 11695.9283303991, 330.275008659005, 188.739950117371, 1171.58340669014, 0, 
5, Eco3226, 16171, 13419.7591367262, 434.516862885961, 244.401335724445, 1490.94558159669, 0, 
5, Eco3441, 19879, 15931.3244126968, 546.332024726756, 313.697218169928, 1922.55631571005, 0, 
