Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, Eco1036, 22976, 7250.60776462396, 256.302541931702, 151.491295264624, 744.839136490251, 0, 
5, Eco1064, 31400, 8768.83280254777, 317.155821440513, 192.524044585987, 909.875796178344, 0, 
5, Eco1072, 24468, 9105.49640346575, 329.704400863387, 199.128903057054, 960.859816903711, 0, 
5, Eco1078, 43371, 9398.28138617971, 328.041133125671, 186.139355790736, 990.861589541399, 0, 
5, Eco1083, 29065, 9578.75554790986, 331.927767220049, 183.760055049028, 1022.51460519525, 0, 
5, Eco1090, 17774, 9933.51862270732, 346.295931440778, 192.797175649826, 1056.9106560144, 0, 
5, Eco1102, 28203, 10139.122646527, 348.027651660496, 190.374002765663, 1107.110130128, 0, 
5, Eco1133, 32205, 10665.8576308027, 379.565493739302, 206.024747709983, 1174.8854215184, 0, 
5, Eco1226, 23275, 12973.8091944146, 483.816139412519, 272.619377013963, 1552.35119226638, 0, 
5, Eco1441, 19294, 15644.7742821603, 574.108759795494, 337.255519850731, 2075.39960609516, 0, 
5, Eco2036, 20223, 7552.16031251545, 259.352840036717, 148.071947782228, 752.894723829303, 0, 
5, Eco2064, 44285, 9114.90561138083, 325.969425598726, 195.998712882466, 907.925934289263, 0, 
5, Eco2072, 19716, 9469.63638669101, 330.045162290884, 187.668188273483, 964.776780279976, 0, 
5, Eco2078, 29673, 9785.72291308597, 337.332994684271, 191.198126242712, 992.992821757153, 0, 
5, Eco2083, 40707, 10070.2988920824, 335.388257926802, 187.767705799985, 999.05048271796, 0, 
5, Eco2090, 19188, 10283.9256306025, 354.024892994341, 200.693610589952, 1060.01792787159, 0, 
5, Eco2102, 26949, 10764.3917399532, 349.447095288125, 185.60039333556, 1103.4669932094, 0, 
5, Eco2133, 29721, 11197.2943709835, 383.128497725623, 207.173648262172, 1164.48581810841, 0, 
5, Eco2226, 18597, 13737.102543421, 510.548826958054, 293.305909555305, 1666.24837339356, 0, 
5, Eco2441, 21704, 16143.8245945448, 595.030670091169, 350.292296350903, 2154.93720051603, 0, 
5, Eco3036, 44627, 8252.77697358102, 272.199493933675, 149.05855199767, 820.986936159724, 0, 
5, Eco3064, 49056, 9975.12648809524, 329.091029378021, 177.380238910633, 968.991173352903, 0, 
5, Eco3072, 78331, 10209.4824526688, 338.795226680447, 185.497695676041, 1002.25491823161, 0, 
5, Eco3078, 18625, 10336.0220671141, 341.293239751032, 180.054604026846, 1010.69476510067, 0, 
5, Eco3083, 29143, 10404.0395635316, 349.161177620574, 184.967230552791, 1050.87255944824, 0, 
5, Eco3090, 21037, 10526.0971621429, 357.476068024128, 186.901459333555, 1094.91367590436, 0, 
5, Eco3102, 15890, 10584.5859660164, 359.49679567512, 186.497986154814, 1102.74864694777, 0, 
5, Eco3133, 13632, 11264.7192634977, 391.004128510635, 201.726525821596, 1159.51137030516, 0, 
5, Eco3226, 16171, 12917.5004637932, 477.375502230568, 252.22682579927, 1464.77181374065, 0, 
5, Eco3441, 19879, 15280.532873887, 580.148740523757, 319.542683233563, 1913.09422003119, 0, 
5, Eco4036, 172, 6698.04651162791, 248.275356321703, 136.639534883721, 687.697674418605, 0, 
5, Eco4064, 5858, 8761.8222942984, 323.548636519776, 186.034994878798, 891.755889382042, 0, 
5, Eco4072, 1440, 9106.01388888889, 322.327754072477, 172.930555555556, 921.238194444444, 0, 
5, Eco4078, 8585, 9778.85241700641, 323.977430022585, 171.509609784508, 946.049039021549, 0, 
5, Eco4083, 5379, 10086.1312511619, 332.955723376984, 177.904815021379, 997.305447109128, 0, 
5, Eco4090, 8814, 10386.0468572725, 333.726565997327, 171.205014749263, 1027.5343771273, 0, 
5, Eco4102, 1170, 10919.394017094, 347.871749147553, 181.94188034188, 1096.92222222222, 0, 
5, Eco4133, 1827, 11835.0415982485, 359.166535454132, 185.298850574713, 1158.72085385878, 0, 
5, Eco4226, 1350, 13454.2355555556, 476.58338312537, 260.833333333333, 1533.99407407407, 0, 
5, Eco4441, 1535, 16204.5368078176, 582.83440576568, 344.366123778502, 2225.3328990228, 0, 
5, Eco5036, 5365, 7518.98546132339, 245.455958574874, 132.43504193849, 790.97632805219, 0, 
5, Eco5064, 17414, 9254.62128172735, 308.509076929996, 176.535890662685, 910.595497875273, 0, 
5, Eco5072, 22086, 9596.52680431042, 308.212935109404, 166.825907814905, 966.845241329349, 0, 
5, Eco5078, 5818, 9312.350464077, 315.28958318297, 164.727741491922, 992.680990030938, 0, 
5, Eco5083, 16741, 9857.93662266292, 323.845139859487, 176.326802461024, 969.304939967744, 0, 
5, Eco5090, 9068, 9847.93758270843, 330.142473145073, 171.96074106749, 1064.89644905161, 0, 
5, Eco5102, 6144, 10027.7897135417, 339.409868023448, 177.999674479167, 1043.25716145833, 0, 
5, Eco5133, 6362, 10684.7796290475, 372.174257817605, 198.907576233889, 1084.59666771456, 0, 
