Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, Eco1036, 22976, 7771.14976497215, 256.60722279894, 151.541303969359, 750.360811281337, 0, 
5, Eco1064, 31400, 9443.11993630573, 318.533070538869, 195.699426751592, 918.550636942675, 0, 
5, Eco1072, 24468, 9835.80823933301, 331.919414371955, 202.569355893412, 970.380251757397, 0, 
5, Eco1078, 43371, 10201.4564109659, 331.391896744639, 189.041825182726, 997.009107468124, 0, 
5, Eco1083, 29065, 10426.4874935489, 336.608540852938, 186.96621365904, 1029.01751247205, 0, 
5, Eco1090, 17774, 10738.2419264094, 351.18754265075, 197.282435017441, 1064.94221897153, 0, 
5, Eco1102, 28203, 11114.4954437471, 353.025679647989, 193.417047831791, 1113.11644151331, 0, 
5, Eco1133, 32205, 11720.2651762149, 384.273525352369, 209.90414531905, 1178.90215804999, 0, 
5, Eco1226, 23275, 14332.2555102041, 490.769584072388, 277.900880773362, 1556.62981740064, 0, 
5, Eco1441, 19294, 17273.4107494558, 589.096923969373, 338.486006012232, 2044.03866486991, 0, 
5, Eco2036, 20223, 8034.1859269149, 249.865512887128, 145.197893487613, 763.449982692973, 0, 
5, Eco2064, 44285, 9676.5221632607, 311.912278170552, 194.417432539235, 922.931985999774, 0, 
5, Eco2072, 19716, 10107.71429296, 315.228705555724, 185.663522012579, 978.913065530534, 0, 
5, Eco2078, 29673, 10418.2462170997, 322.545839799926, 189.254810770734, 1007.42631348364, 0, 
5, Eco2083, 40707, 10766.6551698725, 321.456282079299, 185.538654285504, 1011.94907509765, 0, 
5, Eco2090, 19188, 10994.2927350427, 337.391448387862, 198.41823014384, 1077.99807171149, 0, 
5, Eco2102, 26949, 11581.1908419607, 336.306569340136, 183.788526475936, 1115.09150617834, 0, 
5, Eco2133, 29721, 12055.9764139834, 371.20305090678, 206.186467480906, 1179.97971131523, 0, 
5, Eco2226, 18597, 15068.9883314513, 496.080587628777, 292.423939345056, 1685.07969027262, 0, 
5, Eco2441, 21704, 17838.7335974935, 601.994812035718, 347.778381865094, 2130.68701621821, 0, 
5, Eco3036, 44627, 8702.54971205772, 277.387398809025, 146.054451341116, 823.731664687297, 0, 
5, Eco3064, 49056, 10578.1539261252, 332.775814170429, 174.079602902805, 973.619312622309, 0, 
5, Eco3072, 78331, 10861.742988089, 342.480900006248, 182.320843599597, 1006.28580000255, 0, 
5, Eco3078, 18625, 10990.1122147651, 347.104470558109, 178.736161073826, 1015.33465771812, 0, 
5, Eco3083, 29143, 11103.9850049755, 355.284787052334, 184.429262601654, 1054.88323096455, 0, 
5, Eco3090, 21037, 11249.4677948377, 364.170131513211, 187.610923610781, 1098.94167419309, 0, 
5, Eco3102, 15890, 11373.4719320327, 364.128754534606, 186.438703587162, 1107.64933920705, 0, 
5, Eco3133, 13632, 12061.6459066901, 396.043992557255, 202.359228286385, 1160.66512617371, 0, 
5, Eco3226, 16171, 14022.7090470596, 485.10066632333, 256.202708552347, 1474.50553459897, 0, 
5, Eco3441, 19879, 16581.9299260526, 587.505613781417, 321.516122541375, 1897.31455304593, 0, 
5, Eco4036, 172, 6958.40697674419, 216.529730093571, 128.046511627907, 694.959302325581, 0, 
5, Eco4064, 5858, 9193.03482417207, 282.658988288674, 176.59491293957, 906.579037214066, 0, 
5, Eco4072, 1440, 9551.06041666667, 283.888726168936, 164.19375, 934.517361111111, 0, 
5, Eco4078, 8585, 10226.0451951077, 287.343507297276, 163.791263832266, 958.384973791497, 0, 
5, Eco4083, 5379, 10558.6320877487, 292.257656094762, 169.374604945157, 1011.66536530954, 0, 
5, Eco4090, 8814, 10893.5837304289, 294.811113390506, 163.497844338552, 1040.76911731337, 0, 
5, Eco4102, 1170, 11511.7521367521, 314.21179065491, 174.571794871795, 1113.70512820513, 0, 
5, Eco4133, 1827, 12443.0684181719, 326.790847025784, 179.511220580186, 1176.91680350301, 0, 
5, Eco4226, 1350, 14502.06, 443.789484981981, 253.625185185185, 1558.98074074074, 0, 
5, Eco4441, 1535, 17887.6052117264, 563.752314240154, 343.479478827362, 2234.60195439739, 0, 
5, Eco5036, 5365, 8011.49468779124, 245.657856554594, 129.886300093197, 801.997390493942, 0, 
5, Eco5064, 17414, 9866.00499598025, 307.899008798655, 174.157574365453, 924.797519237395, 0, 
5, Eco5072, 22086, 10314.8754867337, 310.074978866309, 165.603006429412, 978.722358054876, 0, 
5, Eco5078, 5818, 10081.8764180131, 316.198988817333, 163.759711240976, 1006.52732897903, 0, 
5, Eco5083, 16741, 10531.7814348008, 326.150182417615, 175.991278896123, 982.06062959202, 0, 
5, Eco5090, 9068, 10646.7084252316, 333.02737957453, 172.259814733127, 1078.46074106749, 0, 
5, Eco5102, 6144, 10828.0665690104, 342.373941334289, 178.312825520833, 1055.51334635417, 0, 
5, Eco5133, 6362, 11461.0006287331, 373.411959557376, 199.126532536938, 1095.97233574348, 0, 
5, Eco5226, 9544, 13542.3919740151, 458.696193046517, 244.69949706622, 1449.90182313495, 0, 
5, Eco5441, 12230, 16559.0479967294, 568.13883890333, 313.535813573181, 1885.84873262469, 0, 
5, Eco6036, 1953, 7650.32821300563, 243.537056469088, 137.928827444956, 703.774705581157, 0, 
5, Eco6064, 19530, 9027.37224782386, 317.955692254555, 206.834869431644, 866.360471070148, 0, 
5, Eco6072, 3503, 9854.94633171567, 311.505299290151, 179.77162432201, 931.205252640594, 0, 
5, Eco6078, 14236, 10393.9392385502, 314.888312205239, 177.448440573195, 946.209468951953, 0, 
5, Eco6083, 15891, 10699.2298156189, 314.817774425489, 177.781952048329, 968.111950160468, 0, 
5, Eco6090, 11750, 10696.9492765957, 339.752864623334, 199.521106382979, 1036.23531914894, 0, 
5, Eco6102, 3467, 11518.2145947505, 327.531016127624, 175.848283818864, 1044.85434092876, 0, 
5, Eco6133, 3842, 12074.4750130141, 366.01246589173, 201.456012493493, 1156.00780843311, 0, 
5, Eco6226, 3656, 15636.1332056893, 505.312046175029, 301.684901531729, 1801.14578774617, 0, 
5, Eco6441, 4316, 18299.0887395737, 607.779461417974, 365.264596848934, 2260.28382761817, 0, 
5, Eco7036, 1102, 7863.5889292196, 247.784753549621, 128.437386569873, 768.102540834846, 0, 
5, Eco7064, 1986, 8866.45065458208, 301.449351061768, 171.322759315206, 874.401309164149, 0, 
5, Eco7072, 753, 9636.72908366534, 315.838716119004, 168.958831341301, 983.565737051793, 0, 
5, Eco7078, 1858, 9836.35468245425, 324.046199036517, 171.604951560818, 1043.31001076426, 0, 
5, Eco7083, 5910, 10163.813536379, 339.543126551171, 188.507783417936, 1048.82521150592, 0, 
5, Eco7090, 3331, 10415.3263284299, 346.767719507449, 184.598018613029, 1068.50045031522, 0, 
5, Eco7102, 1901, 10603.4634402946, 355.089844984441, 189.988427143609, 1132.60021041557, 0, 
5, Eco7133, 630, 10806.1492063492, 386.077376483761, 205.419047619048, 1089.31746031746, 0, 
5, Eco7226, 2045, 12973.5496332518, 471.67054423147, 251.768215158924, 1384.82885085575, 0, 
5, Eco7441, 4476, 17999.9756478999, 630.884136104421, 366.978775692583, 2219.88672922252, 0, 
5, Eco8036, 17977, 8586.24130833843, 287.280248034307, 190.640707570785, 796.215052567169, 0, 
5, Eco8064, 10918, 10547.91756732, 340.577784363099, 221.113940282103, 989.3742443671, 0, 
5, Eco8072, 8063, 10723.3999751953, 353.384096499442, 222.272107156145, 1020.51519285626, 0, 
5, Eco8078, 13638, 11275.6814048981, 356.724341444188, 210.073911130664, 1084.59187564159, 0, 
5, Eco8083, 7632, 11455.0783542977, 364.940360278887, 210.440382599581, 1141.5820230608, 0, 
5, Eco8090, 6986, 11557.0950472373, 364.555434601535, 203.74234182651, 1161.93859146865, 0, 
5, Eco8102, 26798, 12118.9656317636, 385.464220458087, 213.672811403836, 1229.48268527502, 0, 
5, Eco8133, 23312, 12918.1839396019, 423.05496477696, 237.345487302677, 1341.94865305422, 0, 
5, Eco8226, 21104, 15053.749384003, 518.555267455057, 295.948351023503, 1622.72043214556, 0, 
5, Eco8441, 14858, 18338.2183335577, 624.986546223292, 367.02342172567, 2194.81363575178, 0, 
5, Eco9036, 1765, 8672.20509915014, 266.846630037677, 152.441359773371, 858.390368271955, 0, 
5, Eco9064, 1412, 10360.045325779, 320.750742234294, 184.335694050991, 1051.45892351275, 0, 
5, Eco9072, 987, 11341.2249240122, 327.748005434129, 181.801418439716, 1157.56028368794, 0, 
5, Eco9078, 1527, 11210.9692206942, 342.575356591204, 194.88867059594, 1161.65684348396, 0, 
5, Eco9083, 1367, 11930.6517922458, 356.723558986452, 210.484272128749, 1287.33065106072, 0, 
5, Eco9090, 502, 11342.4422310757, 370.866295211658, 214.219123505976, 1197.72908366534, 0, 
5, Eco9102, 3213, 12501.8151260504, 371.012214823821, 212.786181139122, 1284.45284780579, 0, 
5, Eco9133, 4533, 13133.3507610854, 402.620803568242, 230.679902934039, 1349.57114493713, 0, 
5, Eco9226, 1082, 15701.9214417745, 525.028423789394, 311.729205175601, 1804.51478743068, 0, 
5, Eco9441, 1896, 18797.5005274262, 610.771540889607, 354.310654008439, 2359.29483122363, 0, 
10, Eco1036, 22976, 8995.36002785515, 239.551049088546, 158.71748781337, 698.034296657382, 0, 
10, Eco1064, 31400, 10912.3211146497, 284.139379607016, 202.054968152866, 856.075573248408, 0, 
10, Eco1072, 24468, 11368.9421284944, 294.179353467308, 208.475192087625, 905.963421611901, 0, 
10, Eco1078, 43371, 11808.1568098499, 299.682064299551, 195.575153904683, 929.354591777916, 0, 
10, Eco1083, 29065, 12072.3574746258, 302.918507793703, 192.890142783416, 957.061104421125, 0, 
10, Eco1090, 17774, 12431.3910205919, 316.466568960724, 203.584055361764, 990.134128502307, 0, 
10, Eco1102, 28203, 12870.0604900188, 319.178848352024, 199.415416799631, 1037.92373151792, 0, 
10, Eco1133, 32205, 13667.7140506133, 350.679140422108, 216.934295916783, 1108.80378823164, 0, 
10, Eco1226, 23275, 16673.2654350161, 449.854237800043, 287.789817400644, 1488.67604726101, 0, 
10, Eco1441, 19294, 19958.4805120763, 549.906398967459, 356.940188659687, 1951.18114439722, 0, 
10, Eco2036, 20223, 9344.4096820452, 246.993118382194, 155.260149334916, 695.272857637344, 0, 
10, Eco2064, 44285, 11252.9944902337, 297.145279774887, 205.853878288359, 847.016913176019, 0, 
10, Eco2072, 19716, 11769.6980624873, 305.107994040634, 196.979306147292, 896.27231689998, 0, 
10, Eco2078, 29673, 12121.7269908671, 313.673359927634, 201.249924173491, 922.132881744347, 0, 
10, Eco2083, 40707, 12526.8425823568, 312.05938436988, 196.761932837104, 922.924189942762, 0, 
10, Eco2090, 19188, 12785.6893370857, 327.04409238699, 210.070877631853, 985.557119032729, 0, 
10, Eco2102, 26949, 13537.9195146388, 329.993398530754, 194.641804890719, 1016.88834465101, 0, 
10, Eco2133, 29721, 14144.2873389186, 363.775471449684, 218.321086100737, 1089.15827192894, 0, 
10, Eco2226, 18597, 17467.7539925794, 467.452575028617, 306.007474323816, 1585.646502124, 0, 
10, Eco2441, 21704, 20669.8478621452, 615.615866959819, 377.702911905639, 2032.44563214154, 0, 
10, Eco3036, 44627, 10253.4836982096, 292.300167412487, 165.858717816568, 744.030362784861, 0, 
10, Eco3064, 49056, 12530.7529150359, 349.437400248118, 197.124633072407, 883.952340182648, 0, 
10, Eco3072, 78331, 12859.1852523267, 358.502964653951, 205.914759163039, 917.443221712987, 0, 
10, Eco3078, 18625, 13027.607409396, 365.036263706461, 202.048590604027, 922.903677852349, 0, 
10, Eco3083, 29143, 13189.0255636002, 373.103743081053, 208.255773256013, 962.209175445218, 0, 
10, Eco3090, 21037, 13351.9500879403, 381.347335320283, 211.093501925179, 1008.29871179351, 0, 
10, Eco3102, 15890, 13538.2193203272, 381.918691249606, 208.783385777218, 1022.50251730648, 0, 
10, Eco3133, 13632, 14339.6544160798, 414.135078933781, 226.006895539906, 1077.50594190141, 0, 
10, Eco3226, 16171, 16718.5442458722, 506.988749301016, 280.479995052872, 1405.13116071981, 0, 
10, Eco3441, 19879, 19568.5851400976, 616.16033265988, 350.458272548921, 1824.9003974043, 0, 
10, Eco4036, 172, 8182.72093023256, 217.499545585609, 137.895348837209, 638.924418604651, 0, 
10, Eco4064, 5858, 10611.1795834756, 274.840021317398, 187.833902355753, 837.485319221577, 0, 
10, Eco4072, 1440, 11106.4201388889, 278.080331653773, 174.198611111111, 863.939583333333, 0, 
10, Eco4078, 8585, 11807.9331391963, 280.355770810016, 173.173209085614, 874.123121723937, 0, 
10, Eco4083, 5379, 12134.824874512, 285.967098735456, 179.257110987172, 922.564788994237, 0, 
10, Eco4090, 8814, 12539.3544361243, 288.62039190086, 172.46936691627, 947.511345586567, 0, 
10, Eco4102, 1170, 13282.6162393162, 298.18505210602, 179.915384615385, 1018.9905982906, 0, 
10, Eco4133, 1827, 14367.5435139573, 316.379244107697, 186.896004378763, 1069.94745484401, 0, 
10, Eco4226, 1350, 16825.8162962963, 430.18840518714, 266.89037037037, 1457.16148148148, 0, 
10, Eco4441, 1535, 20533.9778501629, 553.939271002143, 358.947231270358, 2106.88729641694, 0, 
10, Eco5036, 5365, 9494.24547996272, 260.263257498569, 148.065237651445, 720.088536812675, 0, 
10, Eco5064, 17414, 11661.9886298381, 314.63541829866, 195.453887676582, 837.909785230274, 0, 
10, Eco5072, 22086, 12219.9682604365, 315.063375389742, 184.750565969392, 887.583899302726, 0, 
10, Eco5078, 5818, 12008.6933654177, 322.912565909596, 183.177036782399, 919.995702990718, 0, 
10, Eco5083, 16741, 12474.1018457679, 333.220534762257, 197.273997969058, 892.011886984051, 0, 
10, Eco5090, 9068, 12659.9633877371, 338.04286177969, 192.179311865902, 984.237648875165, 0, 
10, Eco5102, 6144, 12862.3636067708, 348.981480727995, 199.410481770833, 970.227376302083, 0, 
10, Eco5133, 6362, 13595.0048726815, 381.235080558025, 221.38997170701, 1011.89500157183, 0, 
10, Eco5226, 9544, 16190.7869865884, 468.321240664088, 267.344300083822, 1368.58266974015, 0, 
10, Eco5441, 12230, 19524.8893704007, 592.850922302627, 341.838511856092, 1805.74897792314, 0, 
10, Eco6036, 1953, 8907.90783410138, 232.093558361993, 143.609831029186, 651.932923707117, 0, 
10, Eco6064, 19530, 10463.6272913466, 277.018199210477, 210.918177163338, 806.051510496672, 0, 
10, Eco6072, 3503, 11398.2206679989, 285.010028078734, 185.091064801599, 861.575221238938, 0, 
10, Eco6078, 14236, 12022.2407277325, 289.553987494329, 181.826425962349, 867.986794043271, 0, 
10, Eco6083, 15891, 12357.3286136807, 288.337935149009, 181.950726826506, 885.643257189604, 0, 
10, Eco6090, 11750, 12357.3162553191, 308.932838715412, 204.875574468085, 954.460170212766, 0, 
10, Eco6102, 3467, 13380.7219498125, 303.139559891485, 179.094606287857, 956.097779059706, 0, 
10, Eco6133, 3842, 14109.1064549714, 340.138205042638, 206.924518479958, 1068.26002082249, 0, 
10, Eco6226, 3656, 17897.045131291, 442.455154671715, 305.743708971554, 1687.96006564551, 0, 
10, Eco6441, 4316, 20946.2233549583, 532.772543401865, 373.564874884152, 2132.73795180723, 0, 
10, Eco7036, 1102, 9172.38838475499, 247.527182828492, 139.903811252269, 710.178765880218, 0, 
10, Eco7064, 1986, 10384.8096676737, 283.270210605866, 183.528700906344, 823.417421953676, 0, 
10, Eco7072, 753, 11222.3386454183, 296.303910565762, 180.009296148738, 932.151394422311, 0, 
10, Eco7078, 1858, 11413.7567276642, 302.249535986168, 183.181377825619, 990.023143164693, 0, 
10, Eco7083, 5910, 11825.7612521151, 310.801213808079, 199.875803722504, 989.579018612521, 0, 
